.id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Gene	Significant	Direction
CD4_Precursor_Exhausted	NA	NA	NA	NA	NA	1	NA	NA
CD4_Precursor_Exhausted	NA	NA	NA	NA	NA	2	NA	NA
CD4_Treg	2.3630821905672e-52	2.00535933207217	0.395	0.016	4.53877196342243e-48	Gzma	YES	UP
CD4_Treg	9.25288826098243e-44	0.361197748074543	0.184	0.003	1.7772022482869e-39	Lcn4	YES	UP
CD4_Treg	1.89384422466524e-37	0.354169152604771	0.211	0.005	3.63750660231453e-33	Gzmk	YES	UP
CD4_Treg	4.17642431427142e-33	1.07574497227761	0.553	0.06	8.02165818042112e-29	Bcl2	YES	UP
CD4_Treg	1.15635829832332e-30	0.82998512071776	0.421	0.035	2.22101738358961e-26	Klrk1	YES	UP
CD4_Treg	6.82274203892565e-26	1.62004530820128	0.395	0.04	1.31044406341645e-21	Ly6c2	YES	UP
CD4_Treg	9.37204512657741e-24	0.603329575984678	0.342	0.031	1.80008870746172e-19	Il12rb2	YES	UP
CD4_Treg	6.35745510318863e-23	1.82351426751514	0.605	0.107	1.22107640166944e-18	Plac8	YES	UP
CD4_Treg	6.31186278495654e-22	0.191464929227741	0.105	0.002	1.2123194851066e-17	Art2b	YES	UP
CD4_Treg	2.13107271995429e-17	0.502647463788789	0.237	0.021	4.0931513732162e-13	Pde3b	YES	UP
CD4_Treg	2.43633251424869e-16	0.344586236541004	0.184	0.013	4.67946386011747e-12	Trbv13-2	YES	UP
CD4_Treg	4.1709608252186e-16	0.732674101833943	0.368	0.055	8.01116445699736e-12	Klrc1	YES	UP
CD4_Treg	2.38380209947295e-15	1.39471602378152	0.605	0.156	4.5785686924577e-11	Ifng	YES	UP
CD4_Treg	6.79031925915535e-14	0.620073454397653	0.316	0.045	1.30421662010597e-09	Jaml	YES	UP
CD4_Treg	2.18977172384358e-13	1.41824940747587	0.579	0.171	4.20589454998637e-09	Cd8b1	YES	UP
CD4_Treg	5.72493573671522e-13	1.53919406473233	0.895	0.47	1.09958840695089e-08	Ms4a4b	YES	UP
CD4_Treg	7.99742317834986e-13	0.364141175524596	0.132	0.009	1.53606506986566e-08	St8sia1	YES	UP
CD4_Treg	1.16352696451184e-12	0.244479449815367	0.132	0.009	2.2347862407379e-08	Mctp2	YES	UP
CD4_Treg	4.60162056375287e-12	-0.585185544391985	1	0.999	8.83833261680014e-08	H2-D1	YES	DWN
CD4_Treg	9.76404664373497e-12	0.368223986905296	0.105	0.006	1.87538043886218e-07	Trbv13-3	YES	UP
CD4_Treg	1.2533391428524e-11	0.243088202118937	0.184	0.019	2.40728849167661e-07	Ehd3	YES	UP
CD4_Treg	1.53152292711427e-11	0.404317809540549	0.211	0.025	2.94159608610837e-07	Ms4a4c	YES	UP
CD4_Treg	1.55586323790655e-11	0.530154234276064	0.289	0.046	2.98834652104711e-07	Klrc2	YES	UP
CD4_Treg	4.94466540902847e-11	0.7940872720929	0.553	0.165	9.49721885112099e-07	Ugcg	YES	UP
CD4_Treg	8.04234028523543e-11	0.217907913705635	0.158	0.015	1.54469229858517e-06	Atp8b4	YES	UP
CD4_Treg	1.46839163487694e-10	0.25446802468381	0.132	0.011	2.82033981310814e-06	Ncald	YES	UP
CD4_Treg	4.00901645564951e-10	0.212779047110878	0.132	0.011	7.70011790636601e-06	Eid3	YES	UP
CD4_Treg	6.88495289947952e-10	1.14752191507917	0.447	0.126	1.32239290340303e-05	Ly6c1	YES	UP
CD4_Treg	1.85420627515522e-09	0.596318447060642	0.974	0.982	3.56137399269062e-05	Uba52	YES	UP
CD4_Treg	2.63594804578348e-09	1.14224128349353	0.737	0.351	5.06286541153633e-05	Emb	YES	UP
CD4_Treg	3.03203862599586e-09	0.20310865659649	0.158	0.018	5.82363658895026e-05	Calhm6	YES	UP
CD4_Treg	4.25243591021526e-09	1.79386778520718	0.789	0.397	8.16765365275046e-05	Ccl5	YES	UP
CD4_Treg	4.769040170104e-09	0.403853141365703	0.211	0.033	9.15989545471875e-05	Evl	YES	UP
CD4_Treg	6.5809383952482e-09	0.718261493680519	1	0.999	0.000126400083757532	Actb	YES	UP
CD4_Treg	8.08551787619008e-09	0.544098127571304	1	0.989	0.000155298541847983	Rps16	YES	UP
